pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,74.0457,80.99098749999999,85.62209999999999,91.614825,96.2063,103.24386500000001,113.61559500000001
0.1,75.051125,81.6480625,86.17345,92.2101375,97.275475,103.48711500000002,113.14522000000001
0.5,72.3991,77.62899999999999,82.86305,88.0384875,93.70665,99.821485,113.10534000000001
1.0,66.45635,72.9546,78.0278,83.16493750000001,89.81765,96.213915,114.269005
1.5,64.167525,67.38308749999999,73.5071,79.82626250000001,86.08837499999998,94.443195,278.07360500000004
2.0,63.292024999999995,65.10895,68.2799,74.70177500000001,82.096325,90.63568500000001,297.9819000000001
2.5,62.889275,64.0530625,66.39495,70.7251125,79.816525,89.527685,1062.772915
3.0,63.010925,64.4781875,66.93805,72.7335375,80.96170000000001,91.80646000000002,1068.591635
4.0,62.883375,64.13180000000001,66.38845,70.23831249999999,80.798325,264.313065,1079.851085
5.0,61.666075000000006,62.848124999999996,64.10815,66.4567875,76.925875,276.851665,1086.409805
6.0,60.992375,62.3702375,63.60195,66.15375,80.44765000000001,281.710475,1087.44839
7.0,61.28937499999999,62.7387375,64.2782,67.1021125,87.94064999999999,284.979815,1090.47816
8.0,60.45325,61.7125875,63.155550000000005,66.4437125,271.413075,500.24223,1094.695475
9.0,60.00897500000001,61.3967125,63.1131,67.4475375,274.468025,1068.056065,1108.7576800000002
10.0,59.42490000000001,61.0794625,62.9995,78.08433749999999,278.882475,1074.39135,1300.5891500000005
11.0,60.1424,61.743425,63.9774,265.9287625,290.22335,1078.341615,1302.049905
12.0,59.5904,61.259225,63.5797,269.548925,486.08065,1081.113385,1559.546725000015
13.0,59.471999999999994,61.212375,64.07675,271.865425,1058.454325,1082.88601,2084.6008
14.0,59.717375000000004,61.6060875,66.387,273.563175,1062.7027,1086.885165,2518.2870050000215
15.0,59.525375000000004,61.543625000000006,71.51925,275.7877875,1067.779325,1089.61155,3079.1424150000003
16.0,59.722775,61.9022625,83.01395,275.9143125,1069.4693750000001,1097.85259,3104.8582850000003
17.0,59.3496,61.9716875,269.03755,293.12923749999993,1076.1560499999998,1273.00743,3106.1912300000004
18.0,59.57585,62.41125,270.0393,481.7075625,1077.983775,1286.02038,3373.9369
19.0,58.88755,62.4872125,270.38800000000003,596.6671375000001,1079.0228000000002,1293.411255,3404.946585000001
20.0,58.6444,64.4591375,271.7666,1057.6597250000002,1083.139675,1482.3148050000002,3534.5246650000004
