pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,63.45075,63.597125,63.7431,63.8880875,64.059675,64.226015,64.56035
0.1,63.482074999999995,63.6334875,63.77975,63.9262875,64.09660000000001,64.27774000000001,64.61958
0.5,63.290575000000004,63.4240875,63.54135,63.682975,63.8561,64.029415,64.42451
1.0,63.29325000000001,63.431937500000004,63.54495,63.676187500000005,63.851375,64.02510500000001,64.41742500000001
1.5,63.319700000000005,63.461112500000006,63.5881,63.742925,63.9236,64.09466,296.901595
2.0,63.343,63.472025,63.595600000000005,63.7406875,63.90245,64.1035,296.67802
2.5,63.356325,63.5063,63.6693,63.831199999999995,64.03752499999999,64.29133,1066.667645
3.0,63.3861,63.5327125,63.68365,63.8499625,64.03115,64.313945,1069.4547900000002
4.0,63.41235,63.566,63.7218,63.8887,64.11472499999999,296.05888,1073.778225
5.0,63.485775000000004,63.636612500000005,63.80055,63.966687500000006,64.2076,300.16927,1078.57264
6.0,63.452275,63.6267375,63.81575,63.9933,64.329525,352.09978,1082.8834849999998
7.0,63.5602,63.75481250000001,63.9203,64.100325,296.353,533.05802,1087.8716900000002
8.0,63.5533,63.74957499999999,63.938500000000005,64.13405,297.71445,1070.80981,1088.68643
9.0,63.642175,63.82933750000001,64.00810000000001,64.25993749999999,336.681925,1072.0556849999998,1304.49444
10.0,63.6877,63.874512499999994,64.05995,64.347125,340.265725,1072.025305,1311.8558050000001
11.0,63.72737500000001,63.9091375,64.09125,64.680325,352.54995,1073.503415,1506.6602400000054
12.0,63.73937500000001,63.9271,64.13185,296.79946249999995,535.814875,1078.921315,2033.7280050000054
13.0,63.779999999999994,63.9849,64.18764999999999,298.0799625,1066.131875,1079.80001,2095.172635
14.0,63.834525,64.01465,64.2612,300.23170000000005,1071.3192999999999,1087.44292,3086.2240850000003
15.0,63.8318,64.0346625,64.36465000000001,339.99484999999993,1071.971875,1088.7952300000002,3103.61503
16.0,63.888574999999996,64.1037375,295.96065,351.9448125,1072.387475,1091.229025,3104.1408899999997
17.0,63.90245,64.109275,296.4545,352.390025,1074.373475,1304.03566,3340.2964850000003
18.0,63.952324999999995,64.1737375,298.75985000000003,536.2100875,1079.61895,1324.34408,3409.2026600000027
19.0,63.972725,64.21097499999999,300.6528,1069.5293125,1087.44455,1540.1775250000003,3573.6345600000022
20.0,63.99155,64.32227499999999,336.2103,1067.7372874999999,1087.53215,1555.20477,3600.2219499999997
