pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,392.86512500000003,393.0263,393.17795,393.33968749999997,393.53805,393.736615,394.15975000000003
0.1,392.829225,392.97581249999996,393.1146,393.27834999999993,393.47225000000003,393.68285,394.13442000000003
0.5,392.79075,392.9176125,393.0474,393.177075,393.34002499999997,393.51185999999996,393.96795499999996
1.0,392.754325,392.8750125,392.9805,393.0986,393.2591,393.43951500000003,394.064235
1.5,392.776225,392.8896,392.99109999999996,393.0986875,393.25485000000003,393.43229,999.1555
2.0,392.79545,392.9012125,393.00625,393.1335875,393.30172500000003,393.49459,1013.2611250000001
2.5,392.8037,392.9167,393.0151,393.13767499999994,393.31855,393.516455,1405.3716200000001
3.0,392.805575,392.91582500000004,393.01919999999996,393.14988750000003,393.34675,393.62115,1414.66909
4.0,392.80147500000004,392.9154125,393.02435,393.158575,393.37125,987.6392250000001,1433.22657
5.0,392.825775,392.94323749999995,393.07545000000005,393.2420625,393.516375,1009.5846250000001,1599.373235
6.0,392.85272499999996,392.9795,393.11545,393.30658750000003,393.61375,1393.7977500000002,1606.2842650000002
7.0,392.91200000000003,393.03671249999996,393.18960000000004,393.39465,986.5344749999999,1401.9284149999999,1615.2507650000002
8.0,392.91722500000003,393.05521250000004,393.2074,393.434725,999.3198,1413.6565699999999,2014.787435
9.0,392.91745000000003,393.041925,393.21915,393.4766375,1011.225475,1419.3916850000003,2203.889145
10.0,392.956325,393.11332500000003,393.3037,393.5966125,1017.813125,1589.756375,2426.905505
11.0,392.97884999999997,393.1342875,393.337,393.8423,1403.458625,1595.250645,2622.734655
12.0,392.9611,393.1234375,393.33545000000004,987.717575,1405.201175,1600.1842699999997,2801.031585
13.0,392.99047500000006,393.1647375,393.3999,992.4868375,1410.1181,1605.018225,3393.394755000001
14.0,393.04847500000005,393.25413749999996,393.5582,1013.6537000000001,1423.360925,2012.1503249999998,3617.37328
15.0,393.062725,393.2691125,393.55404999999996,1010.7701125,1421.120875,2014.4054300000003,3623.10574
16.0,393.08812500000005,393.322925,986.00915,1402.1316625000002,1594.9517999999998,2204.8200549999997,4312.481125000001
17.0,393.13109999999995,393.38081250000005,988.5546999999999,1405.7259875,1602.929925,2416.2470249999997,4350.53576
18.0,393.119975,393.41571250000004,995.7199,1410.8723624999998,1612.8656500000002,2525.9617750000007,4643.223115
19.0,393.19364999999993,393.467625,995.14435,1410.5575875,2008.96075,2797.4861300000007,5192.741935000002
20.0,393.22217500000005,393.5808875,1013.6332,1414.2664875,2019.0695999999998,3419.885775,5756.870335000002
