pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,160.98582499999998,161.2583,161.57920000000001,161.952475,162.46095,163.026805,164.17525
0.1,160.396525,160.6311125,160.90945,161.17323750000003,161.500775,161.903865,162.930075
0.5,160.42057499999999,160.6779125,160.96365,161.2631875,161.571675,161.938945,238.65815000000006
1.0,160.43625,160.6471875,160.90945,161.2291,161.58980000000003,162.17091499999998,350.065855
1.5,160.41125,160.70533749999998,161.00405,161.38924999999998,161.924,239.31008000000003,537.1610300000001
2.0,160.4731,160.7514125,161.08415000000002,161.49352499999998,162.272675,271.25175,570.0182300000056
2.5,160.55259999999998,160.8235375,161.1681,161.56968750000001,162.419575,347.84341500000005,1162.9308950000002
3.0,160.590525,160.9148,161.26434999999998,161.7682,240.0546,351.20467,1175.35093
4.0,160.687275,161.0863125,161.53325,162.5199625,347.704575,530.74021,1290.465785000002
5.0,160.75940000000003,161.1937125,161.75529999999998,240.52556249999998,350.041275,543.545425,1328.816380000001
6.0,160.958525,161.4526125,162.54399999999998,347.15970000000004,519.760525,735.895665,1431.5420650000003
7.0,161.203125,161.90717500000002,240.54135,349.7562375,540.6113,1165.135715,1528.6622800000005
8.0,161.3381,162.4292,345.45714999999996,427.22698749999995,642.050125,1176.00605,1633.9359600000005
9.0,161.492425,239.564925,348.0879,505.7885875,659.708375,1235.7882450000002,1715.9771050000002
10.0,161.64695,240.43757499999998,349.70394999999996,537.4975875,804.7739,1354.4299350000001,1962.2778550000012
11.0,162.387,345.94191250000006,427.5988,608.9099000000001,1008.425475,1401.783295,2352.488085000003
12.0,238.886975,347.650075,508.29229999999995,658.9687875,1184.043975,1527.589265,2721.638620000003
13.0,239.884325,349.16562500000003,532.6437000000001,712.4171125,1191.3664749999998,1596.301665,3343.379445000001
14.0,269.052475,406.8859625,595.7755500000001,826.9008749999999,1323.09535,1671.9706800000001,3541.0097850000034
15.0,318.46917499999995,427.46090000000004,639.3666000000001,920.4261125,1374.5726000000002,1792.452835,3906.519655
16.0,347.633225,508.867025,678.4076,1141.7419375,1442.506025,2053.360825,4768.27239
17.0,350.51965,583.6970375,785.2502,1202.502275,1620.6890250000001,2357.4706850000002,5151.546490000004
18.0,411.2338,617.6047874999999,879.3813,1310.1356,1735.7561500000002,2641.0253000000002,6148.762935000001
19.0,428.51014999999995,644.7596624999999,962.2274500000001,1377.03125,1886.2907500000001,2918.298135,7895.822005000001
20.0,504.0242,710.7198500000001,1116.31975,1513.0901125,2166.604775,3585.670895,9689.642095000003
