pktloss,min,25pct,median,95pct,max
0,11.9176,12.42965,12.78445,14.615809999999996,21.0164
0.1,11.8645,12.362425000000002,12.6447,14.314015000000001,1040.3993
0.5,11.8344,12.300925,12.5944,14.434904999999999,3058.2973
1,11.8178,12.25,12.510549999999999,15.162284999999988,3467.6192
1.5,11.8343,12.20035,12.470600000000001,217.85715999999996,3053.9756
2,11.8254,12.1968,12.465499999999999,225.79163499999336,2045.1899
2.5,11.8285,12.208525,12.4847,253.28638999999987,4057.5579
3,11.8506,12.201249999999998,12.48035,1024.208565,3508.063
4,11.7882,12.186350000000001,12.49305,1030.74067,3388.8784
5,11.8253,12.222249999999999,12.552399999999999,1036.8255550000001,6491.9682
6,11.8131,12.22125,12.5745,1041.703145,6921.2664
7,11.823,12.22625,12.5913,1044.973165,7289.5792
8,11.8308,12.250250000000001,12.6797,1059.190245,7126.4335
9,11.8264,12.271474999999999,12.7789,1239.886005,12616.6502
10,11.8092,12.285025000000001,12.912500000000001,1255.8566199999998,18737.0093
11,11.8334,12.312125000000002,13.04535,1278.4139499999997,15466.714
12,11.8433,12.364425,13.6653,2304.326624999992,14443.0768
13,11.8525,12.369724999999999,14.1192,2077.679644999999,24818.4576
14,11.8351,12.378775,37.3177,2413.485239999999,25730.8047
15,11.8276,12.397250000000001,44.0035,3057.1333949999994,16734.3213
16,11.8325,12.493974999999999,58.416399999999996,3415.0222549999958,58509.8824
17,11.9027,12.5991,227.3032,3556.5119049999994,243175.2418
18,11.888,12.558475,227.1738,3534.138709999999,57929.9966
19,11.8328,12.648225,247.0661,4232.120724999994,234481.2379
20,11.8302,12.775375,251.34980000000002,4406.6486499999955,51481.6508
