pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,63.2772,63.4001,63.51349999999999,63.629712500000004,63.8023,64.00103,64.401785
0.1,63.27485,63.402,63.507149999999996,63.6466375,63.855425000000004,64.05936,64.36441
0.5,63.2092,63.2890625,63.3894,63.518037500000005,63.69405,63.909510000000004,64.366055
1.0,63.201375,63.2849875,63.3968,63.5314375,63.717475,63.9377,64.43726000000001
1.5,63.204699999999995,63.2836,63.38685,63.517375,63.719125000000005,63.962905000000006,293.74335
2.0,63.19105,63.275150000000004,63.3724,63.5046375,63.69435,63.972305,372.43694000000005
2.5,63.207525,63.290825,63.391149999999996,63.536612500000004,63.7792,64.15827,1064.82274
3.0,63.203,63.294462499999995,63.408699999999996,63.563837500000005,63.809825,64.21292,1073.64699
4.0,63.213125,63.30839999999999,63.4186,63.591725000000004,63.899125,167.17485499999995,1086.52489
5.0,63.234049999999996,63.3348625,63.468050000000005,63.6933375,64.07142499999999,338.19024,1089.93839
6.0,63.225325,63.33676249999999,63.47515,63.71639999999999,64.1678,372.81561999999997,1102.419845
7.0,63.2532,63.3814125,63.5472,63.868399999999994,167.650775,402.6935449999998,1104.65841
8.0,63.267025000000004,63.3966,63.571600000000004,63.8956375,168.81757500000003,904.9683599999893,1110.02174
9.0,63.290775,63.4314625,63.65375,64.0437875,346.19757500000003,1073.031145,1304.5580300000004
10.0,63.295725000000004,63.43815,63.7081,64.173175,372.1384,1080.45859,1362.430355
11.0,63.3214,63.486787500000005,63.788700000000006,166.340325,374.29859999999996,1087.73968,1489.1201950000032
12.0,63.323775,63.5164625,63.900949999999995,172.2929125,689.394625,1090.915025,2075.36642
13.0,63.373349999999995,63.5755625,63.97895,337.89386249999995,1065.827725,1092.409055,2093.7051850000003
14.0,63.369325,63.591225,64.0744,352.0272,1071.91325,1103.414965,2624.093165
15.0,63.41315,63.734675,64.32225,371.877225,1074.91525,1118.384135,3103.55305
16.0,63.433899999999994,63.744575,64.4151,372.139775,1079.639975,1191.67212,3321.6167700000033
17.0,63.479850000000006,63.8490625,169.7231,379.16330000000005,1087.8494249999999,1343.2035,3351.0057850000003
18.0,63.507175000000004,63.956362500000004,337.3277,863.579975,1090.097425,1396.3195649999998,3487.668645
19.0,63.529875,64.0223875,351.40155,1023.9847125,1097.303825,1722.2496399999977,3600.347945
20.0,63.577775,64.0878375,352.88620000000003,1068.8301124999998,1108.5268,1909.4866699999955,3819.844900000001
