pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,37.84505,38.954237500000005,39.96465,40.873437499999994,41.88917500000001,42.902535,45.3919
0.1,36.220225,37.1472,38.41505,38.948575,39.885175000000004,41.2311,44.434870000000004
0.5,29.038075,31.952062499999997,35.87305,36.5234625,38.51325,39.388665,44.046635
1.0,25.394,26.238387499999998,30.64445,35.9871,38.486075,40.986425,52.612560000000045
1.5,25.2392,25.8896625,30.8168,36.1900875,39.06465,42.08443,241.29636500000007
2.0,25.125574999999998,25.703162499999998,32.36435,36.5588125,40.808625000000006,46.46987999999999,259.1968400000001
2.5,25.13915,25.8653375,33.8939,37.818675,41.57175,48.227129999999995,289.15313000000043
3.0,25.051825,26.47455,35.659499999999994,38.702650000000006,44.2535,57.505119999999984,1041.84388
4.0,25.0713,30.3238,36.0017,41.3096875,48.359575,236.40601999999984,1055.700555
5.0,25.445050000000002,33.007225000000005,38.83855,46.362775,57.66235,250.68880499999995,1067.9202400000001
6.0,28.387725,35.6712,41.28245,48.138525,68.9337,274.20786499999997,1087.19082
7.0,30.37825,37.1857375,46.4078,57.362337499999995,201.219025,311.7295749999999,1121.028025
8.0,32.340999999999994,41.0686375,50.086,66.8685125,254.6386,1040.530515,1270.115675
9.0,35.4744,42.72845,53.2372,79.1711625,270.28345,1049.86552,1424.38292
10.0,36.06955,47.059625,62.88745,140.6051875,297.557275,1059.9516700000001,1594.3218250000002
11.0,38.854549999999996,52.4094,70.36580000000001,250.7066375,526.875775,1080.37618,1988.3617100000024
12.0,42.131125,58.060874999999996,90.8769,273.6846875,1017.7442249999999,1150.3907149999993,2213.906310000001
13.0,46.648250000000004,63.831,152.35395,294.3531875,1044.7817,1266.5799999999997,2924.5891400000005
14.0,52.045625,75.0423875,255.75335,360.35609999999997,1069.54045,1481.4724299999998,3321.5988200000006
15.0,56.970625,86.40665,269.7318,534.197625,1088.5079500000002,1586.0325699999994,3462.1026550000033
16.0,62.639375,131.7154875,290.82320000000004,752.8362125,1239.2285,1868.0561699999996,3980.9809350000005
17.0,53.102275,116.9862875,285.6265,916.0126625,1267.76875,2078.01341,4506.450794999991
18.0,65.60915,259.42385,524.5099,1069.2124749999998,1547.311625,2801.7553449999996,6020.70686
19.0,81.527975,276.2506875,709.8674000000001,1130.5525375,1905.4951749999998,3286.6559649999995,7269.758439999996
20.0,106.382375,287.981125,736.9429,1204.762325,2093.566325,3554.9874549999995,8789.191944999993
