pktloss,min,25pct,median,95pct,max
0,784.7437,785.3053499999999,785.52355,788.7796000000001,803.5889
0.1,784.7092,785.1414500000001,785.3241,788.8984,2397.805
0.5,784.7077,785.118825,785.30745,1176.2943799999998,2401.5979
1,784.6722,785.146575,785.38775,1377.3081949999998,3806.7001
1.5,784.7278,785.136225,785.3991000000001,1509.3905999999977,4541.7314
2,784.656,785.163125,785.575,1795.1450899999995,7074.8205
2.5,784.5961,785.1668,786.9334,1806.29633,6089.3086
3,784.7148,785.2386,980.55845,1958.2066750000001,5472.2634
4,784.6838,785.386575,980.9572000000001,2302.563569999991,7328.742
5,784.7645,787.1870749999999,981.8019999999999,2578.320324999999,9653.333
6,784.7277,980.5694,1176.246,2810.4055749999998,8553.8612
7,784.7429,980.820925,1177.42805,3176.042019999997,11791.7236
8,784.7618,981.19835,1371.83395,3753.5149949999995,37349.7869
9,784.6378,981.93195,1373.42495,4017.4597499999995,10559.5601
10,784.8727,983.75085,1567.9430499999999,4476.631004999998,13554.9078
11,784.8152,1176.4968,1602.7754,5590.766314999976,16839.1551
12,784.8111,1178.3142500000001,1796.6888,5846.250549999996,33377.3673
13,784.9424,1240.23065,1959.17105,6394.7806099999925,142901.9193
14,784.9781,1372.804875,2014.5307,7642.531074999988,96601.3203
15,784.9217,1567.6310250000001,2184.5400499999996,8444.545284999995,397395.4098
16,784.9968,1569.781,2385.1413000000002,9691.471859999985,181097.1498
17,784.9562,1732.4202500000001,2559.34415,11466.386934999991,218713.7716
18,784.9496,1778.7969,2742.3365000000003,12787.64913999996,379599.8091
19,785.0312,1958.9962,2968.1283999999996,17087.793914999977,875124.7144
20,785.3019,2084.533225,3423.2243,20036.90933,1128878.767
