pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,94.4403,94.5239875,94.6314,94.818175,95.19645,95.62008,96.53757499999999
0.1,94.4411,94.514425,94.6114,94.7631,95.07402499999999,95.46247,96.52074
0.5,94.4131,94.4816,94.57079999999999,94.6968,94.94297499999999,95.343205,102.86994
1.0,94.41427499999999,94.4883625,94.5747,94.715575,94.997575,95.51521000000001,156.99349500000002
1.5,94.43107499999999,94.5032625,94.60225,94.750025,95.058825,96.34660999999998,358.67476500000004
2.0,94.418575,94.4733875,94.54675,94.6937375,95.08149999999999,125.391525,378.7508700000003
2.5,94.44319999999999,94.5282,94.6528,94.8758,95.427025,126.109895,1096.441165
3.0,94.43965,94.535225,94.6759,94.967575,97.5472,156.5869,1101.923095
4.0,94.490075,94.628825,94.8604,95.37854999999999,125.90452499999999,358.52413,1119.1369149999998
5.0,94.52147500000001,94.6790875,95.00280000000001,125.08292500000002,156.45499999999998,361.56351000000006,1132.41388
6.0,94.551,94.745575,95.25155000000001,125.6643125,176.37787500000002,394.4062399999999,1166.80829
7.0,94.581575,94.8666125,95.7621,125.9762375,350.3186,465.8935349999998,1195.4712599999998
8.0,94.664,95.1271375,125.5599,156.66876249999999,372.24825,1102.8469300000002,1364.0101800000002
9.0,94.7777,95.49765,125.78335,173.456325,391.22435,1119.2509599999998,1494.1630050000003
10.0,94.8354,125.2031,126.2317,201.03215,405.868725,1121.2241,1626.318835
11.0,95.020625,125.5438625,144.4013,360.32030000000003,541.111775,1150.1028000000001,2032.9507600000002
12.0,95.21815,125.6882875,156.90915,373.3527,879.7654249999999,1165.953055,2162.5918700000007
13.0,95.83302499999999,126.142375,176.195,390.56545,1103.0614249999999,1198.6982549999998,2338.7087650000026
14.0,125.39375,126.53805,231.2619,410.9880875,1120.5803,1364.03861,3079.507395000004
15.0,125.645025,156.7363375,363.05105000000003,455.707725,1142.35305,1420.5417449999998,3275.9159450000006
16.0,125.698125,156.8524,368.0734,493.54667499999994,1150.6177750000002,1460.7587099999998,3442.6708000000003
17.0,126.000825,175.0698625,391.3694,770.9239375,1173.0648499999998,1638.8235499999994,3655.991265000001
18.0,126.36282499999999,188.7157,399.12694999999997,1079.5541625,1217.311175,1906.689415,3946.614180000005
19.0,144.318875,359.22148749999997,422.50935000000004,1119.9478875,1390.196275,2134.865049999999,4167.74055
20.0,156.50172500000002,362.91200000000003,454.58214999999996,1137.4242749999999,1442.2567,2428.0962199999994,5051.822185000003
