pktloss,min,25pct,median,95pct,max
0,17.7838,18.095875,18.24635,20.365499999999994,33.3416
0.1,17.7698,18.090474999999998,18.2079,20.03452,1051.6268
0.5,17.6797,18.025875,18.1419,22.150489999999994,1252.3223
1,17.6926,17.989649999999997,18.12155,23.921819999999993,1061.3395
1.5,17.6941,17.9733,18.08535,32.707534999993484,3385.1949
2,17.6455,17.95715,18.0907,261.84025999999994,3061.5812
2.5,17.6584,17.939875,18.08165,1026.0819499999998,3500.7098
3,17.6539,17.95245,18.10165,1020.4416949999999,8795.7681
4,17.6489,17.96895,18.16565,1034.7199349999999,6758.3131
5,17.6158,17.9887,18.232,1046.7549549999999,3548.6293
6,17.6279,17.9875,18.34055,1043.74731,6407.2889
7,17.6498,18.018275000000003,18.8898,1061.112385,8923.6568
8,17.6407,18.05995,23.31995,1093.6695949999998,10361.4026
9,17.6486,18.082075,23.518700000000003,1252.8255499999993,13357.045
10,17.6714,18.1057,23.561149999999998,1295.218065,6603.0741
11,17.6324,18.155749999999998,23.7459,1545.5887149999992,9670.5569
12,17.6839,18.223925,28.7945,2048.284419999998,10318.1728
13,17.6506,18.305325,29.13785,2225.3993499999865,16725.3382
14,17.6128,19.1296,48.60555,3054.2254749999993,28609.3404
15,17.6671,23.334375,231.33095,3059.79526,109796.6035
16,17.6692,23.491549999999997,233.6637,3071.475274999999,20960.6933
17,17.6664,23.541025,236.26819999999998,3497.788455,152235.3578
18,17.6805,23.732150000000004,244.0348,3767.8613599999644,63155.6868
19,17.765,23.8877,249.67464999999999,4697.4909049999915,647971.8826
20,17.7173,24.04435,264.0951,4452.398954999993,104977.4068
