pktloss,min,25pct,median,95pct,max
0,158.0148,158.4055,158.69395,160.20387499999998,167.1267
0.1,158.0294,158.37755,158.6531,160.31405,1332.1316
0.5,157.9864,158.37645,158.62144999999998,160.834125,1776.4591
1,157.9875,158.36679999999998,158.6092,315.74383,2177.9806
1.5,158.0026,158.355,158.6064,483.61261499999995,3759.8185
2,157.9597,158.3675,158.6277,518.7237549999993,3844.0169
2.5,157.987,158.36575,158.6451,660.7263099999916,4400.6853
3,158.012,158.360575,158.6393,1168.8078249999994,3494.9246
4,157.9699,158.38005,158.67405,1185.5624299999997,4784.8095
5,158.0083,158.3889,158.71365,1319.6147849999998,4756.2442
6,157.9789,158.421225,158.79305,1321.3245599999998,15507.6944
7,157.9905,158.4459,158.87325,1337.11276,10139.0546
8,157.9947,158.447925,158.9773,1405.52609,7120.6369
9,158.0035,158.49645,159.19085,1705.8136099999992,11188.7249
10,158.0162,158.50385,159.37085000000002,1649.8280999999995,7619.2189
11,157.9855,158.5125,160.0322,2185.2150199999987,22036.3783
12,158.0618,158.593725,268.44984999999997,2409.2524849999995,15229.6121
13,158.0192,158.61075,268.6652,2572.8677299999954,16800.3876
14,158.024,158.6922,345.35855000000004,3205.263054999995,38597.388
15,158.0285,158.74345,486.6864,3480.882849999992,45875.6765
16,158.0201,158.77895,520.5706,3365.3333899999852,38870.5034
17,158.0873,158.88995,534.52045,3813.401494999997,39421.0935
18,158.0707,159.080525,604.07385,4083.427844999994,83810.9458
19,158.0557,159.254475,677.1483000000001,4649.002579999993,149508.2472
20,158.0621,159.633,711.2998,4545.401519999992,169574.035
